group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
intial_100_fanal_999,,,,,973921.0,ns,284
intial_100_fanal_999,,,,,1832679.0,ns,568
intial_100_fanal_999,,,,,2696366.0,ns,852
intial_100_fanal_999,,,,,3667054.0,ns,1136
intial_100_fanal_999,,,,,4629744.0,ns,1420
intial_100_fanal_999,,,,,5396298.0,ns,1704
intial_100_fanal_999,,,,,6671435.0,ns,1988
intial_100_fanal_999,,,,,7399654.0,ns,2272
intial_100_fanal_999,,,,,8346305.0,ns,2556
intial_100_fanal_999,,,,,9472650.0,ns,2840
intial_100_fanal_999,,,,,10479487.0,ns,3124
intial_100_fanal_999,,,,,11564003.0,ns,3408
intial_100_fanal_999,,,,,12924404.0,ns,3692
intial_100_fanal_999,,,,,13374704.0,ns,3976
intial_100_fanal_999,,,,,14484247.0,ns,4260
intial_100_fanal_999,,,,,15155719.0,ns,4544
intial_100_fanal_999,,,,,16143849.0,ns,4828
intial_100_fanal_999,,,,,17170423.0,ns,5112
intial_100_fanal_999,,,,,17953013.0,ns,5396
intial_100_fanal_999,,,,,19366006.0,ns,5680
intial_100_fanal_999,,,,,20180380.0,ns,5964
intial_100_fanal_999,,,,,21613223.0,ns,6248
intial_100_fanal_999,,,,,22821009.0,ns,6532
intial_100_fanal_999,,,,,24625600.0,ns,6816
intial_100_fanal_999,,,,,25886523.0,ns,7100
intial_100_fanal_999,,,,,26740304.0,ns,7384
intial_100_fanal_999,,,,,27201725.0,ns,7668
intial_100_fanal_999,,,,,28249035.0,ns,7952
intial_100_fanal_999,,,,,28976663.0,ns,8236
intial_100_fanal_999,,,,,28570320.0,ns,8520
intial_100_fanal_999,,,,,29621338.0,ns,8804
intial_100_fanal_999,,,,,30639709.0,ns,9088
intial_100_fanal_999,,,,,31769229.0,ns,9372
intial_100_fanal_999,,,,,33629768.0,ns,9656
intial_100_fanal_999,,,,,34514405.0,ns,9940
intial_100_fanal_999,,,,,35787912.0,ns,10224
intial_100_fanal_999,,,,,37089905.0,ns,10508
intial_100_fanal_999,,,,,38800196.0,ns,10792
intial_100_fanal_999,,,,,43988227.0,ns,11076
intial_100_fanal_999,,,,,37781591.0,ns,11360
intial_100_fanal_999,,,,,39765921.0,ns,11644
intial_100_fanal_999,,,,,41200928.0,ns,11928
intial_100_fanal_999,,,,,43291727.0,ns,12212
intial_100_fanal_999,,,,,43243247.0,ns,12496
intial_100_fanal_999,,,,,44444627.0,ns,12780
intial_100_fanal_999,,,,,43390641.0,ns,13064
intial_100_fanal_999,,,,,44072777.0,ns,13348
intial_100_fanal_999,,,,,46253526.0,ns,13632
intial_100_fanal_999,,,,,49183343.0,ns,13916
intial_100_fanal_999,,,,,51180498.0,ns,14200
intial_100_fanal_999,,,,,50384276.0,ns,14484
intial_100_fanal_999,,,,,51982407.0,ns,14768
intial_100_fanal_999,,,,,52479735.0,ns,15052
intial_100_fanal_999,,,,,51203799.0,ns,15336
intial_100_fanal_999,,,,,52295042.0,ns,15620
intial_100_fanal_999,,,,,55058884.0,ns,15904
intial_100_fanal_999,,,,,56240713.0,ns,16188
intial_100_fanal_999,,,,,55595564.0,ns,16472
intial_100_fanal_999,,,,,55252878.0,ns,16756
intial_100_fanal_999,,,,,56250175.0,ns,17040
intial_100_fanal_999,,,,,57920092.0,ns,17324
intial_100_fanal_999,,,,,59375442.0,ns,17608
intial_100_fanal_999,,,,,59694008.0,ns,17892
intial_100_fanal_999,,,,,59563227.0,ns,18176
intial_100_fanal_999,,,,,62604568.0,ns,18460
intial_100_fanal_999,,,,,64335498.0,ns,18744
intial_100_fanal_999,,,,,65536882.0,ns,19028
intial_100_fanal_999,,,,,67319191.0,ns,19312
intial_100_fanal_999,,,,,66873562.0,ns,19596
intial_100_fanal_999,,,,,69407919.0,ns,19880
intial_100_fanal_999,,,,,73914854.0,ns,20164
intial_100_fanal_999,,,,,67751174.0,ns,20448
intial_100_fanal_999,,,,,68649115.0,ns,20732
intial_100_fanal_999,,,,,69957866.0,ns,21016
intial_100_fanal_999,,,,,82698066.0,ns,21300
intial_100_fanal_999,,,,,84797019.0,ns,21584
intial_100_fanal_999,,,,,72010363.0,ns,21868
intial_100_fanal_999,,,,,74443145.0,ns,22152
intial_100_fanal_999,,,,,74155592.0,ns,22436
intial_100_fanal_999,,,,,76381460.0,ns,22720
intial_100_fanal_999,,,,,78611156.0,ns,23004
intial_100_fanal_999,,,,,81883653.0,ns,23288
intial_100_fanal_999,,,,,83008189.0,ns,23572
intial_100_fanal_999,,,,,87468564.0,ns,23856
intial_100_fanal_999,,,,,85058905.0,ns,24140
intial_100_fanal_999,,,,,87609623.0,ns,24424
intial_100_fanal_999,,,,,87730849.0,ns,24708
intial_100_fanal_999,,,,,83179753.0,ns,24992
intial_100_fanal_999,,,,,86579655.0,ns,25276
intial_100_fanal_999,,,,,86708461.0,ns,25560
intial_100_fanal_999,,,,,85712513.0,ns,25844
intial_100_fanal_999,,,,,86278971.0,ns,26128
intial_100_fanal_999,,,,,89196624.0,ns,26412
intial_100_fanal_999,,,,,90525986.0,ns,26696
intial_100_fanal_999,,,,,93579954.0,ns,26980
intial_100_fanal_999,,,,,98424842.0,ns,27264
intial_100_fanal_999,,,,,93850160.0,ns,27548
intial_100_fanal_999,,,,,96503008.0,ns,27832
intial_100_fanal_999,,,,,94601025.0,ns,28116
intial_100_fanal_999,,,,,99232243.0,ns,28400
