group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
intial_10000_fanal_999,,,,,983718.0,ns,363
intial_10000_fanal_999,,,,,2022740.0,ns,726
intial_10000_fanal_999,,,,,2942115.0,ns,1089
intial_10000_fanal_999,,,,,3888991.0,ns,1452
intial_10000_fanal_999,,,,,4930251.0,ns,1815
intial_10000_fanal_999,,,,,5904669.0,ns,2178
intial_10000_fanal_999,,,,,6869966.0,ns,2541
intial_10000_fanal_999,,,,,11480217.0,ns,2904
intial_10000_fanal_999,,,,,8883994.0,ns,3267
intial_10000_fanal_999,,,,,10234264.0,ns,3630
intial_10000_fanal_999,,,,,11293662.0,ns,3993
intial_10000_fanal_999,,,,,12345372.0,ns,4356
intial_10000_fanal_999,,,,,13188501.0,ns,4719
intial_10000_fanal_999,,,,,13602175.0,ns,5082
intial_10000_fanal_999,,,,,14513818.0,ns,5445
intial_10000_fanal_999,,,,,15582825.0,ns,5808
intial_10000_fanal_999,,,,,16665457.0,ns,6171
intial_10000_fanal_999,,,,,17450045.0,ns,6534
intial_10000_fanal_999,,,,,18446597.0,ns,6897
intial_10000_fanal_999,,,,,19628280.0,ns,7260
intial_10000_fanal_999,,,,,20528383.0,ns,7623
intial_10000_fanal_999,,,,,21711578.0,ns,7986
intial_10000_fanal_999,,,,,22810716.0,ns,8349
intial_10000_fanal_999,,,,,27576076.0,ns,8712
intial_10000_fanal_999,,,,,25408514.0,ns,9075
intial_10000_fanal_999,,,,,26990650.0,ns,9438
intial_10000_fanal_999,,,,,27326089.0,ns,9801
intial_10000_fanal_999,,,,,27318372.0,ns,10164
intial_10000_fanal_999,,,,,28169686.0,ns,10527
intial_10000_fanal_999,,,,,29080009.0,ns,10890
intial_10000_fanal_999,,,,,30201467.0,ns,11253
intial_10000_fanal_999,,,,,34631674.0,ns,11616
intial_10000_fanal_999,,,,,32733483.0,ns,11979
intial_10000_fanal_999,,,,,34201909.0,ns,12342
intial_10000_fanal_999,,,,,34409390.0,ns,12705
intial_10000_fanal_999,,,,,36313110.0,ns,13068
intial_10000_fanal_999,,,,,37469441.0,ns,13431
intial_10000_fanal_999,,,,,38234436.0,ns,13794
intial_10000_fanal_999,,,,,43111393.0,ns,14157
intial_10000_fanal_999,,,,,41216616.0,ns,14520
intial_10000_fanal_999,,,,,41927749.0,ns,14883
intial_10000_fanal_999,,,,,40429001.0,ns,15246
intial_10000_fanal_999,,,,,41890627.0,ns,15609
intial_10000_fanal_999,,,,,42848412.0,ns,15972
intial_10000_fanal_999,,,,,47262314.0,ns,16335
intial_10000_fanal_999,,,,,46477188.0,ns,16698
intial_10000_fanal_999,,,,,47301293.0,ns,17061
intial_10000_fanal_999,,,,,48093845.0,ns,17424
intial_10000_fanal_999,,,,,48435193.0,ns,17787
intial_10000_fanal_999,,,,,50727687.0,ns,18150
intial_10000_fanal_999,,,,,49718963.0,ns,18513
intial_10000_fanal_999,,,,,50930626.0,ns,18876
intial_10000_fanal_999,,,,,51489740.0,ns,19239
intial_10000_fanal_999,,,,,52645282.0,ns,19602
intial_10000_fanal_999,,,,,53879892.0,ns,19965
intial_10000_fanal_999,,,,,54670584.0,ns,20328
intial_10000_fanal_999,,,,,55845407.0,ns,20691
intial_10000_fanal_999,,,,,56476615.0,ns,21054
intial_10000_fanal_999,,,,,60502039.0,ns,21417
intial_10000_fanal_999,,,,,58133071.0,ns,21780
intial_10000_fanal_999,,,,,59517374.0,ns,22143
intial_10000_fanal_999,,,,,60169333.0,ns,22506
intial_10000_fanal_999,,,,,61428520.0,ns,22869
intial_10000_fanal_999,,,,,62585003.0,ns,23232
intial_10000_fanal_999,,,,,64820278.0,ns,23595
intial_10000_fanal_999,,,,,66671422.0,ns,23958
intial_10000_fanal_999,,,,,72766136.0,ns,24321
intial_10000_fanal_999,,,,,69359315.0,ns,24684
intial_10000_fanal_999,,,,,67487293.0,ns,25047
intial_10000_fanal_999,,,,,68272378.0,ns,25410
intial_10000_fanal_999,,,,,70890947.0,ns,25773
intial_10000_fanal_999,,,,,72066279.0,ns,26136
