group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
intial_10_fanal_999,,,,,980260.0,ns,364
intial_10_fanal_999,,,,,2003974.0,ns,728
intial_10_fanal_999,,,,,2874759.0,ns,1092
intial_10_fanal_999,,,,,3903863.0,ns,1456
intial_10_fanal_999,,,,,4899971.0,ns,1820
intial_10_fanal_999,,,,,5885161.0,ns,2184
intial_10_fanal_999,,,,,6872137.0,ns,2548
intial_10_fanal_999,,,,,7774990.0,ns,2912
intial_10_fanal_999,,,,,8713528.0,ns,3276
intial_10_fanal_999,,,,,9873855.0,ns,3640
intial_10_fanal_999,,,,,11016044.0,ns,4004
intial_10_fanal_999,,,,,12054201.0,ns,4368
intial_10_fanal_999,,,,,13811735.0,ns,4732
intial_10_fanal_999,,,,,14041310.0,ns,5096
intial_10_fanal_999,,,,,16202560.0,ns,5460
intial_10_fanal_999,,,,,16800003.0,ns,5824
intial_10_fanal_999,,,,,16230418.0,ns,6188
intial_10_fanal_999,,,,,16707037.0,ns,6552
intial_10_fanal_999,,,,,18474629.0,ns,6916
intial_10_fanal_999,,,,,19923869.0,ns,7280
intial_10_fanal_999,,,,,21538453.0,ns,7644
intial_10_fanal_999,,,,,22257102.0,ns,8008
intial_10_fanal_999,,,,,21977923.0,ns,8372
intial_10_fanal_999,,,,,22634413.0,ns,8736
intial_10_fanal_999,,,,,23472603.0,ns,9100
intial_10_fanal_999,,,,,24889773.0,ns,9464
intial_10_fanal_999,,,,,26185962.0,ns,9828
intial_10_fanal_999,,,,,26879681.0,ns,10192
intial_10_fanal_999,,,,,28453769.0,ns,10556
intial_10_fanal_999,,,,,36193295.0,ns,10920
intial_10_fanal_999,,,,,33180141.0,ns,11284
intial_10_fanal_999,,,,,30907605.0,ns,11648
intial_10_fanal_999,,,,,32385992.0,ns,12012
intial_10_fanal_999,,,,,33185543.0,ns,12376
intial_10_fanal_999,,,,,34141633.0,ns,12740
intial_10_fanal_999,,,,,36247901.0,ns,13104
intial_10_fanal_999,,,,,37427186.0,ns,13468
intial_10_fanal_999,,,,,38119137.0,ns,13832
intial_10_fanal_999,,,,,43271342.0,ns,14196
intial_10_fanal_999,,,,,40199584.0,ns,14560
intial_10_fanal_999,,,,,41353384.0,ns,14924
intial_10_fanal_999,,,,,40725023.0,ns,15288
intial_10_fanal_999,,,,,42327826.0,ns,15652
intial_10_fanal_999,,,,,44849880.0,ns,16016
intial_10_fanal_999,,,,,44962349.0,ns,16380
intial_10_fanal_999,,,,,45803288.0,ns,16744
intial_10_fanal_999,,,,,47287772.0,ns,17108
intial_10_fanal_999,,,,,47899104.0,ns,17472
intial_10_fanal_999,,,,,49451208.0,ns,17836
intial_10_fanal_999,,,,,50155322.0,ns,18200
intial_10_fanal_999,,,,,49418411.0,ns,18564
intial_10_fanal_999,,,,,51496806.0,ns,18928
intial_10_fanal_999,,,,,52360738.0,ns,19292
intial_10_fanal_999,,,,,52842373.0,ns,19656
intial_10_fanal_999,,,,,53062101.0,ns,20020
intial_10_fanal_999,,,,,54457387.0,ns,20384
intial_10_fanal_999,,,,,56136795.0,ns,20748
intial_10_fanal_999,,,,,55698591.0,ns,21112
intial_10_fanal_999,,,,,67605755.0,ns,21476
intial_10_fanal_999,,,,,57168546.0,ns,21840
intial_10_fanal_999,,,,,57899616.0,ns,22204
intial_10_fanal_999,,,,,60769697.0,ns,22568
intial_10_fanal_999,,,,,61795899.0,ns,22932
intial_10_fanal_999,,,,,64879062.0,ns,23296
intial_10_fanal_999,,,,,62210022.0,ns,23660
intial_10_fanal_999,,,,,64313480.0,ns,24024
intial_10_fanal_999,,,,,63713733.0,ns,24388
intial_10_fanal_999,,,,,65563007.0,ns,24752
intial_10_fanal_999,,,,,68582872.0,ns,25116
intial_10_fanal_999,,,,,70673370.0,ns,25480
intial_10_fanal_999,,,,,68401207.0,ns,25844
intial_10_fanal_999,,,,,68969453.0,ns,26208
intial_10_fanal_999,,,,,71417868.0,ns,26572
intial_10_fanal_999,,,,,79627418.0,ns,26936
intial_10_fanal_999,,,,,73908850.0,ns,27300
intial_10_fanal_999,,,,,74160169.0,ns,27664
intial_10_fanal_999,,,,,71476062.0,ns,28028
intial_10_fanal_999,,,,,72408873.0,ns,28392
intial_10_fanal_999,,,,,76277901.0,ns,28756
intial_10_fanal_999,,,,,77367338.0,ns,29120
intial_10_fanal_999,,,,,80735207.0,ns,29484
intial_10_fanal_999,,,,,82301316.0,ns,29848
intial_10_fanal_999,,,,,82364689.0,ns,30212
intial_10_fanal_999,,,,,83229910.0,ns,30576
intial_10_fanal_999,,,,,82718568.0,ns,30940
intial_10_fanal_999,,,,,82752120.0,ns,31304
intial_10_fanal_999,,,,,88056401.0,ns,31668
intial_10_fanal_999,,,,,85412093.0,ns,32032
intial_10_fanal_999,,,,,85219241.0,ns,32396
intial_10_fanal_999,,,,,87928168.0,ns,32760
intial_10_fanal_999,,,,,87331541.0,ns,33124
intial_10_fanal_999,,,,,89274462.0,ns,33488
intial_10_fanal_999,,,,,89128931.0,ns,33852
intial_10_fanal_999,,,,,90528933.0,ns,34216
intial_10_fanal_999,,,,,91730636.0,ns,34580
intial_10_fanal_999,,,,,91906774.0,ns,34944
intial_10_fanal_999,,,,,93014557.0,ns,35308
intial_10_fanal_999,,,,,102569002.0,ns,35672
intial_10_fanal_999,,,,,95112372.0,ns,36036
intial_10_fanal_999,,,,,96344277.0,ns,36400
