group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
intial_1000_fanal_9999,,,,,1007252.0,ns,37
intial_1000_fanal_9999,,,,,1955565.0,ns,74
intial_1000_fanal_9999,,,,,2936122.0,ns,111
intial_1000_fanal_9999,,,,,4040121.0,ns,148
intial_1000_fanal_9999,,,,,5080812.0,ns,185
intial_1000_fanal_9999,,,,,6169400.0,ns,222
intial_1000_fanal_9999,,,,,7179760.0,ns,259
intial_1000_fanal_9999,,,,,8026232.0,ns,296
intial_1000_fanal_9999,,,,,9132130.0,ns,333
intial_1000_fanal_9999,,,,,10130992.0,ns,370
intial_1000_fanal_9999,,,,,11114061.0,ns,407
intial_1000_fanal_9999,,,,,12210785.0,ns,444
intial_1000_fanal_9999,,,,,13436088.0,ns,481
intial_1000_fanal_9999,,,,,14602413.0,ns,518
intial_1000_fanal_9999,,,,,15784249.0,ns,555
intial_1000_fanal_9999,,,,,16526357.0,ns,592
intial_1000_fanal_9999,,,,,17665038.0,ns,629
intial_1000_fanal_9999,,,,,18644228.0,ns,666
intial_1000_fanal_9999,,,,,19450531.0,ns,703
intial_1000_fanal_9999,,,,,21373134.0,ns,740
intial_1000_fanal_9999,,,,,21907446.0,ns,777
intial_1000_fanal_9999,,,,,22950535.0,ns,814
intial_1000_fanal_9999,,,,,23678849.0,ns,851
intial_1000_fanal_9999,,,,,24192121.0,ns,888
intial_1000_fanal_9999,,,,,25551160.0,ns,925
intial_1000_fanal_9999,,,,,26495439.0,ns,962
intial_1000_fanal_9999,,,,,27191691.0,ns,999
intial_1000_fanal_9999,,,,,28268097.0,ns,1036
intial_1000_fanal_9999,,,,,29336271.0,ns,1073
intial_1000_fanal_9999,,,,,34938454.0,ns,1110
intial_1000_fanal_9999,,,,,32037520.0,ns,1147
intial_1000_fanal_9999,,,,,32804138.0,ns,1184
intial_1000_fanal_9999,,,,,33938949.0,ns,1221
intial_1000_fanal_9999,,,,,34493949.0,ns,1258
