group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
intial_10_fanal_9999,,,,,1009493.0,ns,37
intial_10_fanal_9999,,,,,1992425.0,ns,74
intial_10_fanal_9999,,,,,2975215.0,ns,111
intial_10_fanal_9999,,,,,3980991.0,ns,148
intial_10_fanal_9999,,,,,4949154.0,ns,185
intial_10_fanal_9999,,,,,5983479.0,ns,222
intial_10_fanal_9999,,,,,6941600.0,ns,259
intial_10_fanal_9999,,,,,7968644.0,ns,296
intial_10_fanal_9999,,,,,8909420.0,ns,333
intial_10_fanal_9999,,,,,9824738.0,ns,370
intial_10_fanal_9999,,,,,10983395.0,ns,407
intial_10_fanal_9999,,,,,11830240.0,ns,444
intial_10_fanal_9999,,,,,12887725.0,ns,481
intial_10_fanal_9999,,,,,13837904.0,ns,518
intial_10_fanal_9999,,,,,14967560.0,ns,555
intial_10_fanal_9999,,,,,16340187.0,ns,592
intial_10_fanal_9999,,,,,17440881.0,ns,629
intial_10_fanal_9999,,,,,18341133.0,ns,666
intial_10_fanal_9999,,,,,19002507.0,ns,703
intial_10_fanal_9999,,,,,19916433.0,ns,740
intial_10_fanal_9999,,,,,20942733.0,ns,777
intial_10_fanal_9999,,,,,21641294.0,ns,814
intial_10_fanal_9999,,,,,22699586.0,ns,851
intial_10_fanal_9999,,,,,23710176.0,ns,888
intial_10_fanal_9999,,,,,28053900.0,ns,925
intial_10_fanal_9999,,,,,25769942.0,ns,962
intial_10_fanal_9999,,,,,26645970.0,ns,999
intial_10_fanal_9999,,,,,27922368.0,ns,1036
intial_10_fanal_9999,,,,,28863480.0,ns,1073
intial_10_fanal_9999,,,,,29847300.0,ns,1110
intial_10_fanal_9999,,,,,31570540.0,ns,1147
intial_10_fanal_9999,,,,,33045620.0,ns,1184
intial_10_fanal_9999,,,,,36301609.0,ns,1221
intial_10_fanal_9999,,,,,33553924.0,ns,1258
intial_10_fanal_9999,,,,,34356062.0,ns,1295
intial_10_fanal_9999,,,,,35454498.0,ns,1332
intial_10_fanal_9999,,,,,36901364.0,ns,1369
intial_10_fanal_9999,,,,,37650910.0,ns,1406
intial_10_fanal_9999,,,,,38560645.0,ns,1443
intial_10_fanal_9999,,,,,42735058.0,ns,1480
intial_10_fanal_9999,,,,,40332305.0,ns,1517
intial_10_fanal_9999,,,,,41370434.0,ns,1554
intial_10_fanal_9999,,,,,42529828.0,ns,1591
intial_10_fanal_9999,,,,,43882091.0,ns,1628
intial_10_fanal_9999,,,,,44552899.0,ns,1665
intial_10_fanal_9999,,,,,50852329.0,ns,1702
intial_10_fanal_9999,,,,,47906674.0,ns,1739
intial_10_fanal_9999,,,,,48231272.0,ns,1776
intial_10_fanal_9999,,,,,49016575.0,ns,1813
intial_10_fanal_9999,,,,,51065461.0,ns,1850
intial_10_fanal_9999,,,,,55086143.0,ns,1887
intial_10_fanal_9999,,,,,53456989.0,ns,1924
intial_10_fanal_9999,,,,,54633245.0,ns,1961
intial_10_fanal_9999,,,,,55323027.0,ns,1998
intial_10_fanal_9999,,,,,59154934.0,ns,2035
intial_10_fanal_9999,,,,,57893710.0,ns,2072
intial_10_fanal_9999,,,,,58959096.0,ns,2109
intial_10_fanal_9999,,,,,59422906.0,ns,2146
intial_10_fanal_9999,,,,,59350166.0,ns,2183
intial_10_fanal_9999,,,,,60635791.0,ns,2220
intial_10_fanal_9999,,,,,60883726.0,ns,2257
intial_10_fanal_9999,,,,,65919190.0,ns,2294
intial_10_fanal_9999,,,,,68107013.0,ns,2331
intial_10_fanal_9999,,,,,64046521.0,ns,2368
intial_10_fanal_9999,,,,,66886075.0,ns,2405
intial_10_fanal_9999,,,,,66640839.0,ns,2442
intial_10_fanal_9999,,,,,71029668.0,ns,2479
intial_10_fanal_9999,,,,,68652431.0,ns,2516
intial_10_fanal_9999,,,,,69552611.0,ns,2553
intial_10_fanal_9999,,,,,69069442.0,ns,2590
intial_10_fanal_9999,,,,,71967229.0,ns,2627
intial_10_fanal_9999,,,,,73184318.0,ns,2664
intial_10_fanal_9999,,,,,76541924.0,ns,2701
intial_10_fanal_9999,,,,,77639786.0,ns,2738
intial_10_fanal_9999,,,,,76794928.0,ns,2775
intial_10_fanal_9999,,,,,75478838.0,ns,2812
intial_10_fanal_9999,,,,,80177556.0,ns,2849
intial_10_fanal_9999,,,,,78963757.0,ns,2886
intial_10_fanal_9999,,,,,74753712.0,ns,2923
intial_10_fanal_9999,,,,,79109237.0,ns,2960
intial_10_fanal_9999,,,,,79805599.0,ns,2997
intial_10_fanal_9999,,,,,79713073.0,ns,3034
intial_10_fanal_9999,,,,,78643106.0,ns,3071
intial_10_fanal_9999,,,,,82993165.0,ns,3108
intial_10_fanal_9999,,,,,82629647.0,ns,3145
intial_10_fanal_9999,,,,,83726978.0,ns,3182
intial_10_fanal_9999,,,,,83272528.0,ns,3219
intial_10_fanal_9999,,,,,82610195.0,ns,3256
intial_10_fanal_9999,,,,,83243898.0,ns,3293
intial_10_fanal_9999,,,,,87771987.0,ns,3330
intial_10_fanal_9999,,,,,89565160.0,ns,3367
intial_10_fanal_9999,,,,,92994136.0,ns,3404
intial_10_fanal_9999,,,,,91630669.0,ns,3441
intial_10_fanal_9999,,,,,93646765.0,ns,3478
intial_10_fanal_9999,,,,,103277803.0,ns,3515
intial_10_fanal_9999,,,,,96285157.0,ns,3552
intial_10_fanal_9999,,,,,98748006.0,ns,3589
intial_10_fanal_9999,,,,,97600734.0,ns,3626
intial_10_fanal_9999,,,,,102021728.0,ns,3663
intial_10_fanal_9999,,,,,107321957.0,ns,3700
