group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
intial_1000_fanal_9,,,,,953020.0,ns,12221
intial_1000_fanal_9,,,,,1896277.0,ns,24442
intial_1000_fanal_9,,,,,2854085.0,ns,36663
intial_1000_fanal_9,,,,,3803289.0,ns,48884
intial_1000_fanal_9,,,,,4772962.0,ns,61105
intial_1000_fanal_9,,,,,5724671.0,ns,73326
intial_1000_fanal_9,,,,,6651419.0,ns,85547
intial_1000_fanal_9,,,,,7612071.0,ns,97768
intial_1000_fanal_9,,,,,8594637.0,ns,109989
intial_1000_fanal_9,,,,,9525427.0,ns,122210
intial_1000_fanal_9,,,,,10471509.0,ns,134431
intial_1000_fanal_9,,,,,11449945.0,ns,146652
intial_1000_fanal_9,,,,,12372155.0,ns,158873
intial_1000_fanal_9,,,,,13358893.0,ns,171094
intial_1000_fanal_9,,,,,14742907.0,ns,183315
intial_1000_fanal_9,,,,,15243191.0,ns,195536
intial_1000_fanal_9,,,,,16218636.0,ns,207757
intial_1000_fanal_9,,,,,17168226.0,ns,219978
intial_1000_fanal_9,,,,,18070748.0,ns,232199
intial_1000_fanal_9,,,,,19205127.0,ns,244420
intial_1000_fanal_9,,,,,19991937.0,ns,256641
intial_1000_fanal_9,,,,,20954801.0,ns,268862
intial_1000_fanal_9,,,,,21896953.0,ns,281083
intial_1000_fanal_9,,,,,22862098.0,ns,293304
intial_1000_fanal_9,,,,,23803646.0,ns,305525
intial_1000_fanal_9,,,,,24781246.0,ns,317746
intial_1000_fanal_9,,,,,25686962.0,ns,329967
intial_1000_fanal_9,,,,,26644100.0,ns,342188
intial_1000_fanal_9,,,,,27690875.0,ns,354409
intial_1000_fanal_9,,,,,28647735.0,ns,366630
intial_1000_fanal_9,,,,,29885491.0,ns,378851
intial_1000_fanal_9,,,,,30660252.0,ns,391072
intial_1000_fanal_9,,,,,31440231.0,ns,403293
intial_1000_fanal_9,,,,,32617681.0,ns,415514
intial_1000_fanal_9,,,,,33265516.0,ns,427735
intial_1000_fanal_9,,,,,34234808.0,ns,439956
intial_1000_fanal_9,,,,,35142374.0,ns,452177
intial_1000_fanal_9,,,,,37049950.0,ns,464398
intial_1000_fanal_9,,,,,37118837.0,ns,476619
intial_1000_fanal_9,,,,,38138705.0,ns,488840
intial_1000_fanal_9,,,,,39001846.0,ns,501061
intial_1000_fanal_9,,,,,39914622.0,ns,513282
intial_1000_fanal_9,,,,,40917485.0,ns,525503
intial_1000_fanal_9,,,,,42310564.0,ns,537724
intial_1000_fanal_9,,,,,43272933.0,ns,549945
intial_1000_fanal_9,,,,,44295333.0,ns,562166
intial_1000_fanal_9,,,,,45357959.0,ns,574387
intial_1000_fanal_9,,,,,46126707.0,ns,586608
intial_1000_fanal_9,,,,,46802792.0,ns,598829
intial_1000_fanal_9,,,,,53328070.0,ns,611050
intial_1000_fanal_9,,,,,49734980.0,ns,623271
intial_1000_fanal_9,,,,,49436575.0,ns,635492
intial_1000_fanal_9,,,,,51292039.0,ns,647713
intial_1000_fanal_9,,,,,52042898.0,ns,659934
intial_1000_fanal_9,,,,,57236367.0,ns,672155
intial_1000_fanal_9,,,,,53646895.0,ns,684376
intial_1000_fanal_9,,,,,54741283.0,ns,696597
intial_1000_fanal_9,,,,,56008263.0,ns,708818
intial_1000_fanal_9,,,,,56459665.0,ns,721039
intial_1000_fanal_9,,,,,57503461.0,ns,733260
intial_1000_fanal_9,,,,,58612517.0,ns,745481
intial_1000_fanal_9,,,,,60573655.0,ns,757702
intial_1000_fanal_9,,,,,60304353.0,ns,769923
intial_1000_fanal_9,,,,,63173005.0,ns,782144
intial_1000_fanal_9,,,,,62976739.0,ns,794365
intial_1000_fanal_9,,,,,62906537.0,ns,806586
intial_1000_fanal_9,,,,,64544821.0,ns,818807
intial_1000_fanal_9,,,,,65561674.0,ns,831028
intial_1000_fanal_9,,,,,67792346.0,ns,843249
intial_1000_fanal_9,,,,,68483809.0,ns,855470
intial_1000_fanal_9,,,,,68191733.0,ns,867691
intial_1000_fanal_9,,,,,69319765.0,ns,879912
intial_1000_fanal_9,,,,,70099382.0,ns,892133
intial_1000_fanal_9,,,,,70968713.0,ns,904354
intial_1000_fanal_9,,,,,76203022.0,ns,916575
intial_1000_fanal_9,,,,,72687054.0,ns,928796
intial_1000_fanal_9,,,,,74693737.0,ns,941017
intial_1000_fanal_9,,,,,76437773.0,ns,953238
intial_1000_fanal_9,,,,,77612586.0,ns,965459
intial_1000_fanal_9,,,,,78774447.0,ns,977680
intial_1000_fanal_9,,,,,83509509.0,ns,989901
intial_1000_fanal_9,,,,,81694588.0,ns,1002122
intial_1000_fanal_9,,,,,82496016.0,ns,1014343
intial_1000_fanal_9,,,,,83913349.0,ns,1026564
intial_1000_fanal_9,,,,,83401573.0,ns,1038785
intial_1000_fanal_9,,,,,82478267.0,ns,1051006
intial_1000_fanal_9,,,,,88452827.0,ns,1063227
