group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
intial_10000_fanal_9999,,,,,1010978.0,ns,37
intial_10000_fanal_9999,,,,,2033112.0,ns,74
intial_10000_fanal_9999,,,,,2982781.0,ns,111
intial_10000_fanal_9999,,,,,3934158.0,ns,148
intial_10000_fanal_9999,,,,,4678349.0,ns,185
intial_10000_fanal_9999,,,,,5685805.0,ns,222
intial_10000_fanal_9999,,,,,6578926.0,ns,259
intial_10000_fanal_9999,,,,,7661488.0,ns,296
intial_10000_fanal_9999,,,,,8620710.0,ns,333
intial_10000_fanal_9999,,,,,9939257.0,ns,370
intial_10000_fanal_9999,,,,,10838134.0,ns,407
intial_10000_fanal_9999,,,,,11981867.0,ns,444
intial_10000_fanal_9999,,,,,13176569.0,ns,481
intial_10000_fanal_9999,,,,,14480004.0,ns,518
intial_10000_fanal_9999,,,,,15558013.0,ns,555
intial_10000_fanal_9999,,,,,16398168.0,ns,592
intial_10000_fanal_9999,,,,,16730405.0,ns,629
intial_10000_fanal_9999,,,,,17428366.0,ns,666
intial_10000_fanal_9999,,,,,18294054.0,ns,703
intial_10000_fanal_9999,,,,,19635899.0,ns,740
intial_10000_fanal_9999,,,,,21486399.0,ns,777
intial_10000_fanal_9999,,,,,22172919.0,ns,814
intial_10000_fanal_9999,,,,,22219820.0,ns,851
intial_10000_fanal_9999,,,,,23758197.0,ns,888
intial_10000_fanal_9999,,,,,24777105.0,ns,925
intial_10000_fanal_9999,,,,,25551767.0,ns,962
intial_10000_fanal_9999,,,,,26466554.0,ns,999
intial_10000_fanal_9999,,,,,32593176.0,ns,1036
intial_10000_fanal_9999,,,,,29095561.0,ns,1073
intial_10000_fanal_9999,,,,,30334754.0,ns,1110
intial_10000_fanal_9999,,,,,30845140.0,ns,1147
intial_10000_fanal_9999,,,,,32022807.0,ns,1184
intial_10000_fanal_9999,,,,,33008724.0,ns,1221
intial_10000_fanal_9999,,,,,33381084.0,ns,1258
intial_10000_fanal_9999,,,,,35995596.0,ns,1295
intial_10000_fanal_9999,,,,,35698562.0,ns,1332
intial_10000_fanal_9999,,,,,36596038.0,ns,1369
